Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
,1746617300.200933,,,,,,,1163,,,,18990.599569905,,,
,1746617337.3967545,,,,,0.48651957511901855,,1164,,,,19027.79554583,0.14329905807971954,0.07847151905298233,
,1746617344.9119263,,,,,,,1165,,,,19035.310597378,,,
,1746617348.9051433,,,,,,,1166,,,,19039.303673448,,,
,1746617353.050169,,,,,,,1167,,,,19043.448743146,,,
,1746617357.3229444,,,,,,,1168,,,,19047.721512248,,,
276.40280940088184,1746617448.597791,227.19785367418774,557.1113123357958,76.4235362923911,923.5761298874933,0.5377084016799927,120.96156893048635,1169,35.96166704199401,64.07445924415245,856.3883898728456,19138.996754643,0.09631028026342392,0.03567223995923996,522.0821277583844
,1746617456.2016509,,,,,,,1170,,,,19146.60039634,,,
,1746617460.2050831,,,,,,,1171,,,,19150.603710358,,,
,1746617464.4786928,,,,,,,1172,,,,19154.877300939,,,
,1746617468.51931,,,,,,,1173,,,,19158.917908897,,,
,1746617506.4047513,,,,,0.5139150619506836,,1174,,,,19196.80356052,0.046632878482341766,0.0036467351019382477,
,1746617513.9316895,,,,,,,1175,,,,19204.371672715,,,
,1746617518.022077,,,,,,,1176,,,,19208.420574674,,,
,1746617521.7400913,,,,,,,1177,,,,19212.138758294,,,
,1746617526.0258524,,,,,,,1178,,,,19216.424486398,,,
273.48202042103065,1746617617.4841793,219.6207638957878,566.6536169848579,79.31063163459831,909.2657539770299,0.4537891447544098,119.18478761241776,1179,39.40029430398953,68.14807592677448,854.8344827104069,19307.883317006,0.04301401600241661,0.013819083571434021,524.425825603614
,1746617625.0321152,,,,,,,1180,,,,19315.430699576,,,
,1746617628.5346289,,,,,,,1181,,,,19318.933324031,,,
,1746617632.2275362,,,,,,,1182,,,,19322.626181156,,,
,1746617636.2911608,,,,,,,1183,,,,19326.689881127,,,
,1746617674.9633493,,,,,0.4997829496860504,,1184,,,,19365.362364059,0.04775332659482956,0.04744293913245201,
,1746617681.7838254,,,,,,,1185,,,,19372.182856919,,,
,1746617685.5554597,,,,,,,1186,,,,19375.953949512,,,
,1746617689.179123,,,,,,,1187,,,,19379.577636553,,,
,1746617692.9551501,,,,,,,1188,,,,19383.353739118,,,
269.3527068873394,1746617784.1445208,215.04944413275234,579.2214039319616,77.79658566630529,950.47436872281,0.5051754713058472,116.29254779719751,1189,40.27054027765929,70.38949044908567,876.3252671667593,19474.543635505,0.04566705971956253,0.0012843512231484056,526.4410418184575
,1746617791.8991132,,,,,,,1190,,,,19482.29780081,,,
,1746617795.4938543,,,,,,,1191,,,,19485.892470345,,,
,1746617799.2979531,,,,,,,1192,,,,19489.696706026,,,
,1746617803.1509657,,,,,,,1193,,,,19493.549616442,,,
,1746617841.6779866,,,,,0.501272976398468,,1194,,,,19532.076698399,0.06682074069976807,0.08492998033761978,
,1746617849.2254052,,,,,,,1195,,,,19539.624110509,,,
,1746617853.0523975,,,,,,,1196,,,,19543.451168157,,,
,1746617856.429135,,,,,,,1197,,,,19546.827681987,,,
,1746617860.278104,,,,,,,1198,,,,19550.67673024,,,
282.15760485764275,1746617949.83465,222.2299807369173,563.7693477487966,76.34523291610954,942.9802638148365,0.651462972164154,121.467581451519,1199,40.13371694200144,67.78203872746886,869.1368466223062,19640.233681459,0.26814699172973633,0.1694614738225937,525.0137025633118
,1746617957.761154,,,,,,,1200,,,,19648.15990109,,,
,1746617961.8200092,,,,,,,1201,,,,19652.21880371,,,
,1746617965.9176755,,,,,,,1202,,,,19656.316293688,,,
,1746617969.4951005,,,,,,,1203,,,,19659.89373611,,,
,1746618007.0573049,,,,,0.5050256848335266,,1204,,,,19697.456290853,0.06255223602056503,0.026278316974639893,
,1746618014.711925,,,,,,,1205,,,,19705.110594631,,,
,1746618018.693316,,,,,,,1206,,,,19709.091870863,,,
,1746618022.8467412,,,,,,,1207,,,,19713.245340378,,,
,1746618027.3128781,,,,,,,1208,,,,19717.711485238,,,
270.4586044411067,1746618118.9342768,258.58796783656265,597.5577436496352,77.9378978056514,1066.3040084492627,0.5875265598297119,143.3087738854946,1209,41.66584346503169,81.12247175512728,928.3880810859904,19809.333252653,0.22347679734230042,0.1351460963487625,521.8791483955251
,1746618126.5644076,,,,,,,1210,,,,19816.963145433,,,
,1746618130.8797724,,,,,,,1211,,,,19821.278424144,,,
